,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
77,77,0.7726392559274892,2025-04-07 00:31:20.059423,2025-04-07 00:34:47.766246,0 days 00:03:27.706823,0.9485299410235818,0.2513620352794035,0.06194378412994663,4,889,0.2172629483117054,2.651978894106528e-07,0.9339133466999628,COMPLETE
78,78,0.7726172658965408,2025-04-07 00:34:47.778023,2025-04-07 00:38:57.196399,0 days 00:04:09.418376,0.8088819770844184,0.2857403606817534,0.022129203225881633,5,974,0.5170215095636712,1.603247142202913e-08,0.877334949587522,COMPLETE
79,79,0.7729347528478607,2025-04-07 00:38:57.208761,2025-04-07 00:42:49.153119,0 days 00:03:51.944358,0.9735370222371872,0.3273294696209768,0.03082626077937299,5,855,0.0038067000258418674,1.4805918292913323e-06,0.9061950547888508,COMPLETE
80,80,0.7701095095191646,2025-04-07 00:42:49.165320,2025-04-07 00:46:29.364883,0 days 00:03:40.199563,0.9210401848366029,0.23903432110234116,0.02640387186512036,4,934,0.0005180649509974765,6.360886425817427e-07,0.6720292256054454,COMPLETE
81,81,0.7731257385349528,2025-04-07 00:46:29.378702,2025-04-07 00:50:22.855476,0 days 00:03:53.476774,0.8861528073411709,0.3776359671839991,0.03445316412485238,5,898,0.0001387598505659252,5.368601214822696e-08,0.8516431968727501,COMPLETE
82,82,0.7734523081678317,2025-04-07 00:50:22.892112,2025-04-07 00:55:08.500023,0 days 00:04:45.607911,0.865463234004125,0.3118267533409659,0.023004156816414392,6,998,7.689510817953156e-06,8.221228386502998e-08,0.9219020169493575,COMPLETE
83,83,0.7713558736355132,2025-04-07 00:55:08.512941,2025-04-07 00:59:24.145521,0 days 00:04:15.632580,0.8620049303399235,0.31302564447506576,0.0183311984578663,5,989,0.0013297994622143226,1.7717749429272322e-07,0.9199323991164368,COMPLETE
84,84,0.772287276829157,2025-04-07 00:59:24.157580,2025-04-07 01:04:08.258513,0 days 00:04:44.100933,0.9029935282524371,0.28164279482503457,0.017226201872189203,6,928,3.5601288898066216e-05,8.259506932273524e-08,0.8949658773682804,COMPLETE
85,85,0.7685663927044464,2025-04-07 01:04:08.270518,2025-04-07 01:07:08.204465,0 days 00:02:59.933947,0.8409793883181998,0.30080220674363983,0.02942670211211464,5,482,0.00039352061186983135,3.032943037675255e-08,0.9100833749556462,COMPLETE
86,86,0.7625732517683257,2025-04-07 01:07:08.216653,2025-04-07 01:10:00.504324,0 days 00:02:52.287671,0.8758038770008675,0.2650100429542936,0.022981509674025645,6,320,0.00018783140500951796,2.0315812441240157e-06,0.9498589855878311,COMPLETE
