,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
103,103,0.7655556315553589,2025-04-09 13:13:06.714618,2025-04-09 13:15:20.750001,0 days 00:02:14.035383,0.6984519815503958,0.05150558578581174,5,999,24,0.027048236132467277,2.7137422937794566e-05,0.9673005996587623,COMPLETE
104,104,0.7675727216251674,2025-04-10 00:44:53.053801,2025-04-10 00:46:50.868456,0 days 00:01:57.814655,0.7536369734890078,0.03641126032630929,5,962,37,3.418519858016599e-05,0.05022238828702558,0.9942084717011277,COMPLETE
105,105,0.7699863692423274,2025-04-10 00:46:50.883646,2025-04-10 00:49:04.657425,0 days 00:02:13.773779,0.7108193822641973,0.022629741609375472,7,924,26,0.28694454612993914,5.252980073559755e-07,0.9594940533992158,COMPLETE
106,106,0.7663117112186197,2025-04-10 00:49:04.796374,2025-04-10 00:51:18.264833,0 days 00:02:13.468459,0.7429522472864911,0.03903559447558916,10,900,34,0.0001253885265497895,3.6333791725571428e-06,0.9854678468605169,COMPLETE
107,107,0.7623856816192642,2025-04-10 00:51:18.276785,2025-04-10 00:53:28.008185,0 days 00:02:09.731400,0.6604724559510112,0.0441015965043129,8,736,60,0.0003627251854446978,2.6786985412891794e-08,0.8005268047267566,COMPLETE
108,108,0.768769669541352,2025-04-10 00:53:28.021093,2025-04-10 00:54:49.665940,0 days 00:01:21.644847,0.728867657761998,0.01881121498568538,6,463,28,1.0489506770678026e-06,7.030494094813715e-05,0.9300033783311693,COMPLETE
109,109,0.7678020558555358,2025-04-10 00:54:49.686940,2025-04-10 00:57:10.007066,0 days 00:02:20.320126,0.6796430127022661,0.02416809013437185,10,600,89,0.00176347468960098,1.1578169785430872e-08,0.7392003962030556,COMPLETE
110,110,0.7700072476648263,2025-04-10 00:57:10.019024,2025-04-10 00:58:51.337586,0 days 00:01:41.318562,0.6303440534322704,0.03385895839938834,4,836,30,7.312881151146342e-06,0.3507355558369574,0.7884508788433353,COMPLETE
111,111,0.7650110959341583,2025-04-10 00:58:51.349867,2025-04-10 01:00:34.777568,0 days 00:01:43.427701,0.6908552218777729,0.04788040251290894,11,565,57,2.113842615444571e-06,0.10246437203342537,0.8616510886223042,COMPLETE
112,112,0.76804290917717,2025-04-10 01:00:34.799264,2025-04-10 01:02:37.065398,0 days 00:02:02.266134,0.7662106648055974,0.030800851714072312,10,763,38,2.1055728782817157e-07,0.00012358937920418946,0.6061166330047832,COMPLETE
113,113,0.7680375598746154,2025-04-10 01:02:37.079398,2025-04-10 01:04:53.008696,0 days 00:02:15.929298,0.718781581177775,0.027082151842598438,10,796,43,1.222502178030906e-07,0.013747966292761107,0.6881439029861465,COMPLETE
